,Unnamed: 0,Unnamed: 0.1,App,Category,Rating,Reviews,Size,Installs,Price,Content Rating
54,54,56,Gas Prices (Germany only),1,4.4,805,5.6,50000,0.0,0
1804,1804,2408,Tinnitus Alleviator,19,3.1,82,42.0,5000,0.0,0
3574,3574,4683,"Vault-Hide SMS,Pics & Videos,App Lock,Cloud backup",4,4.5,984451,22.571652379544755,50000000,0.0,0
1596,1596,2145,Sworkit Kids - Fitness Meets Fun,18,4.7,9856,55.0,100000,0.0,0
649,649,864,Vigo Lite,9,4.2,10291,6.5,5000000,0.0,1
105,105,107,Ulta Beauty,2,4.7,42050,22.571652379544755,1000000,0.0,0
6941,6941,9135,love sms good morning,6,4.2,10,3.1,5000,0.0,0
2069,2069,2818,Photo frame,22,4.5,859,21.0,100000,0.0,0
5,5,5,Paper flowers instructions,0,4.4,167,5.6,50000,0.0,0
1425,1425,1858,Might & Magic: Elemental Guardians,17,4.3,32551,35.0,500000,0.0,3
5661,5661,7508,DAILY: Free Classifieds App for Android,16,4.1,5025,22.571652379544755,500000,0.0,3
7194,7194,9468,Stickman Warriors Heroes 2,17,4.4,13714,41.0,1000000,0.0,2
7176,7176,9444,"Kolkata News:Anandbazar Patrika,ei samay&AllRating",31,5.0,10,5.0,100,0.0,0
4753,4753,6159,BGKontakti Vienna BG Kontakti,20,4.8,111,5.9,1000,0.0,0
3488,3488,4587,Tinder,16,4.0,2789775,68.0,100000000,0.0,3
2322,2322,3155,TravelPirates,24,4.8,43054,22.571652379544755,1000000,0.0,0
4296,4296,5584,CAPTCHA Pack for Sleep as Android,16,4.0,448,3.1,50000,0.0,0
2982,2982,3931,Like A Boss,18,4.4,17069,94.0,500000,0.0,2
5506,5506,7288,cg guruji,18,4.5,170,4.1,10000,0.0,0
7118,7118,9375,Fit the Fat 2,23,3.8,35746,55.0,5000000,0.0,0
4646,4646,6029,Live Radio BD,18,4.2,69,3.5,10000,0.0,0
5745,5745,7608,We Bare Bears Match3 Repairs,18,4.7,39153,98.0,1000000,0.0,0
2739,2739,3640,Real time Weather Forecast,29,4.4,4184,10.0,1000000,0.0,0
2726,2726,3627,Weather forecast,29,4.8,159455,10.0,1000000,0.0,0
7058,7058,9285,EF Sidekick,30,3.1,36,22.571652379544755,5000,0.0,0
4226,4226,5501,Adventure Quest World Mobile Quiz,18,4.6,28,26.0,500,0.0,0
4136,4136,5394,Fast like a Fox,17,4.3,104389,12.0,5000000,0.0,0
5444,5444,7165,My Movies Pro - Movie & TV Collection Library,16,4.6,6477,20.0,10000,7.99,0
5605,5605,7430,CJ Poker Odds Calculator,17,4.1,207,22.571652379544755,50000,0.0,0
7960,7960,10486,FJ Drive: Mercedes-Benz Lease,1,4.6,107,27.0,10000,0.0,0
6267,6267,8264,DC Universe Quiz,17,4.3,11,23.0,500,0.0,0
1203,1203,1573,Live 4D Results ! (MY & SG),16,4.6,116079,3.2,5000000,0.0,0
4909,4909,6384,BK Dinos,18,4.4,30,99.0,5000,0.0,0
373,373,444,Call Control - Call Blocker,6,4.4,93825,11.0,5000000,0.0,0
3210,3210,4246,I LOVE PASTA,18,4.0,83875,43.0,1000000,0.0,0
1914,1914,2589,Text free - Free Text + Call,20,4.3,315441,22.571652379544755,10000000,0.0,0
1013,1013,1306,"Fabulous: Motivate Me! Meditate, Relax, Sleep",13,4.6,205299,31.0,5000000,0.0,0
1824,1824,2457,PrimeDelivery,19,5.0,3,53.0,10,0.0,0
1245,1245,1617,DIY Garden Ideas,16,4.1,3309,13.0,500000,0.0,0
2878,2878,3786,Haystack TV: Local & World News - Free,31,4.3,3684,22.571652379544755,100000,0.0,2
7918,7918,10440,Forgotten Hill: Puppeteer,17,4.5,2917,22.0,100000,0.0,1
5037,5037,6564,Thai Sic Bo,17,4.1,14283,4.2,1000000,0.0,1
1002,1002,1295,Abs Workout - 30 Days Fitness App for Six Pack Abs,13,4.6,299,11.0,100000,0.0,0
3646,3646,4768,X-WOLF,17,4.2,4878,27.0,100000,0.0,2
4024,4024,5257,AJ Gray Icon Pack,26,4.8,5,35.0,50,0.99,0
7373,7373,9709,The Visitor: Ep.2 - Sleepover Slaughter,17,4.3,5731,31.0,1000000,0.0,3
7434,7434,9783,Ankle Surgery ER Emergency,18,3.3,10449,29.0,1000000,0.0,1
1979,1979,2684,Mercado Libre: Find your favorite brands,21,4.7,3860225,22.571652379544755,50000000,0.0,0
4515,4515,5872,AZ Plugin 2 (newest),15,4.2,11087,34.0,1000000,0.0,0
7757,7757,10221,Faster Social for Facebook,20,4.2,1236,3.3,100000,0.0,1
5406,5406,7105,CB On Mobile,6,4.1,901,22.571652379544755,100000,0.0,1
614,614,812,HomeWork,8,4.3,16195,5.2,1000000,0.0,0
3234,3234,4280,K Health,13,4.1,290,40.0,50000,0.0,1
3535,3535,4642,Octo U: Your driving companion,24,3.0,331,7.8,50000,0.0,0
5025,5025,6548,Skip-Bo™ Free,17,3.5,46801,60.0,1000000,0.0,0
3906,3906,5063,Blur Image - DSLR focus effect,22,3.9,38055,4.1,5000000,0.0,0
6803,6803,8952,Wifi Action Camera,22,2.9,118,26.0,50000,0.0,0
4091,4091,5345,Quran for Android,3,4.7,497826,22.571652379544755,10000000,0.0,0
4419,4419,5732,AW - free video calls and chat,6,4.0,7317,22.571652379544755,1000000,0.0,1
5402,5402,7100,CA Speakers,16,5.0,12,1.2,100,0.99,1
3966,3966,5181,The Artificial Intelligence Project (A.I. Chat),18,3.0,76,39.0,5000,1.99,0
3439,3439,4523,Q Mobile Banking,11,4.7,460,12.0,10000,0.0,0
4171,4171,5434,FC Barcelona Official App,23,4.6,92522,56.0,5000000,0.0,0
7108,7108,9360,Fashion Girls Dress up Makeup,18,4.4,115,31.0,10000,0.0,0
3665,3665,4788,X Construction,18,4.5,18612,8.5,100000,1.49,0
5007,5007,6523,BN Pro Roboto-b Neon HD Text,15,4.4,30,22.571652379544755,5000,0.0,0
5975,5975,7886,Remote CT - Smart Remote,25,3.5,3988,11.0,1000000,0.0,0
2921,2921,3846,Sentin Information Map,32,4.1,2909,5.2,100000,0.0,0
2683,2683,3574,Cloud Print,27,4.1,282460,22.571652379544755,500000000,0.0,0
4204,4204,5470,AP World History: Practice Tests and Flashcards,18,4.8,21,5.4,5000,0.0,0
5219,5219,6833,BU Bison Nation,23,3.5,4,40.0,100,0.0,0
4023,4023,5254,AJ Styles HD Wallpapers,0,4.8,48,25.0,5000,0.0,0
5852,5852,7741,Gun Simulator - Gun Games,18,4.4,134,22.571652379544755,10000,0.0,1
2571,2571,3439,Yandex.Shell (Launcher+Dialer),26,4.4,87300,22.571652379544755,1000000,0.0,0
419,419,505,Cougar Dating Life : Date Older Women Sugar Mummy,7,3.9,1643,31.0,500000,0.0,3
1174,1174,1538,Bird Sounds & Bird Ringtones for Free 2018,15,4.6,130,12.0,10000,0.0,0
5660,5660,7507,CL Pro Client for Craigslist,21,3.6,48,2.2,5000,0.0,0
6917,6917,9100,Drugs Dz - Algeria,19,4.4,187,22.571652379544755,10000,0.0,0
5813,5813,7685,Poke Genie - Safe IV Calculator,25,4.7,92958,36.0,1000000,0.0,0
827,827,1102,Monefy - Money Manager,11,4.6,111254,7.4,1000000,0.0,0
3130,3130,4140,Arto: f.infrared photo,22,4.1,41,11.0,500,1.49,0
7471,7471,9822,School scientific calculator fx 500 es plus 500 ms,18,4.6,1553,9.2,100000,0.0,0
4979,4979,6485,BBMoji - Your personalized BBM Stickers,6,4.3,8827,22.571652379544755,1000000,0.0,0
1283,1283,1663,Helix Jump,17,4.2,1497361,33.0,100000000,0.0,0
1843,1843,2506,Deaf Interpreter,19,3.8,24,4.4,1000,0.0,0
1571,1571,2114,L.O.L. Surprise Ball Pop,18,4.3,10088,22.571652379544755,1000000,0.0,0
3978,3978,5194,Learn Artificial Intelligence,18,4.6,27,4.2,10000,0.0,0
5104,5104,6663,Pick-a-Paint,16,1.6,242,36.0,50000,0.0,0
2738,2738,3639,Yahoo Weather,29,4.4,1312037,22.571652379544755,10000000,0.0,0
6156,6156,8115,LOCX Applock Lock Apps & Photo,27,4.5,208543,22.571652379544755,10000000,0.0,0
951,951,1240,"delivery.com: Order Food, Alcohol & Laundry",12,4.1,1920,22.571652379544755,100000,0.0,0
4969,4969,6465,Basket Manager 2017 Free,23,4.5,2710,4.8,100000,0.0,0
3817,3817,4958,FVD Ad-Free,25,4.4,1774,4.1,10000,1.99,0
3482,3482,4580,Five Nights at Freddy's 2 Demo,18,4.3,1503544,40.0,50000000,0.0,1
1362,1362,1784,Baseball Boy!,17,3.4,148177,78.0,10000000,0.0,0
3764,3764,4903,Air conditioner remote control,25,3.4,29854,5.0,1000000,0.0,0
5902,5902,7801,CR-V Service Manual,1,4.2,12,88.0,500,0.0,0
4891,4891,6362,BK Murli Offline April 2017,16,4.8,33,2.4,5000,0.0,0
6513,6513,8601,DN Calculators,11,5.0,12,22.571652379544755,100,0.0,0
516,516,688,Online Girls Chat,7,4.8,5323,3.5,50000,0.0,3
440,440,526,NoBuffDating - Free Dating App,7,4.2,1939,22.571652379544755,100000,0.0,3
6337,6337,8373,DG Screen Recorder,30,3.3,12,2.9,500,0.0,0
2917,2917,3842,Karta GPS - Offline Navigation,32,4.5,53562,60.0,1000000,0.0,0
2387,2387,3247,My Telcel,25,3.1,45838,16.0,50000000,0.0,0
862,862,1139,NSE Mobile Trading,11,4.1,13868,1.4,1000000,0.0,0
3282,3282,4341,Dialer theme Droid L,26,4.3,1734,2.8,100000,0.0,3
5433,5433,7146,Antenna Tool,25,4.2,522,2.9,50000,0.0,0
6496,6496,8569,Aster DM Healthcare,19,2.4,32,8.5,5000,0.0,0
4597,4597,5972,BC's Pizza,16,4.7,113,20.0,1000,0.0,0
3066,3066,4043,Vector,17,4.4,3058687,89.0,100000000,0.0,2
2131,2131,2891,HD Camera Ultra,22,4.3,462152,1.5,10000000,0.0,0
5943,5943,7846,Case Simulator Hero for CS:GO,18,4.3,14604,68.0,500000,0.0,1
6493,6493,8561,DM Storage (for twitter),20,3.2,6,22.571652379544755,100,0.0,0
2642,2642,3512,Dashlane Free Password Manager,27,4.6,73695,22.571652379544755,1000000,0.0,0
6401,6401,8453,Fancy Pants Adventures,17,4.7,55952,61.0,1000000,0.0,2
2853,2853,3757,"AD - News, Sports, Region & Entertainment",31,3.7,10382,22.571652379544755,1000000,0.0,0
4468,4468,5795,Axe Champs! Wars,17,5.0,8,25.0,50,0.0,0
1310,1310,1690,Gardenscapes,17,4.6,4128732,22.571652379544755,50000000,0.0,0
5117,5117,6687,TV Guide BR Gold,18,4.4,544,22.571652379544755,5000,1.49,0
5452,5452,7191,Music Collector Inventory Organizer UPC Discogs,16,3.5,155,12.0,10000,0.0,0
7597,7597,10016,Eddsworld Amino,20,4.9,3071,63.0,10000,0.0,1
2778,2778,3679,OBJECTIVE,30,3.8,19738,33.0,1000000,0.0,1
2072,2072,2821,HD Camera,22,4.3,49680,8.7,5000000,0.0,0
866,866,1145,"Trading 212 - Forex, Stocks, CFDs",11,4.3,37580,22.571652379544755,5000000,0.0,0
2995,2995,3949,Bestie - Camera360 Selfie,22,4.5,512996,23.0,10000000,0.0,0
5180,5180,6774,BT Messenger,6,3.9,97,22.571652379544755,50000,0.0,0
7275,7275,9564,Real Madrid App,23,4.6,161423,73.0,5000000,0.0,0
4781,4781,6204,Blood Glucose Tracker,13,4.6,9612,3.5,100000,0.0,0
4918,4918,6396,Bk Usha behn,16,5.0,10,3.0,1000,0.0,0
551,551,729,ABC Preschool Free,8,3.8,27572,25.0,5000000,0.0,0
3382,3382,4452,P-Home for KLWP,26,5.0,4,12.0,100,0.99,0
5884,5884,7780,Stats Royale for Clash Royale,3,4.5,68226,16.0,1000000,0.0,0
4708,4708,6095,BF 3d Wallpapers,18,4.1,256,2.5,100000,0.0,1
4730,4730,6123,Talking Boyfriend,18,2.9,1073,2.8,100000,0.0,0
7846,7846,10318,HD Video Download for Facebook,30,4.4,20755,17.0,1000000,0.0,0
6821,6821,8974,Hotel Insanity,17,4.2,3816,31.0,100000,0.0,1
6776,6776,8922,Clean My Android,27,4.7,101163,6.2,5000000,0.0,0
6592,6592,8703,"100000+ Messages - DP, Status, Jokes & GIF 2018",16,3.7,121,3.8,10000,0.0,3
21,21,22,Superheroes Wallpapers | 4K Backgrounds,0,4.7,7699,4.2,500000,0.0,2
3636,3636,4758,iSwipe Phone X,25,4.7,58366,6.3,1000000,0.0,0
6985,6985,9187,TN e Sevai TN EB Bill Patta Citta EC Birth All Hub,20,3.7,23,16.0,5000,0.0,0
6485,6485,8552,DM HiDisk,25,2.8,54,20.0,5000,0.0,0
104,104,106,Tie - Always be happy,2,4.7,964,9.0,50000,0.0,0
1069,1069,1370,"Zombies, Run! 5k Training (Free)",13,4.0,267,22.571652379544755,50000,0.0,1
2361,2361,3216,Hotels Combined - Cheap deals,24,4.1,17202,12.0,5000000,0.0,0
5819,5819,7692,Evolution CP,18,3.6,13,4.7,500,0.0,0
7763,7763,10227,Video Downloader for FB,25,4.3,53,3.0,5000,0.0,0
946,946,1234,Instacart: Grocery Delivery,12,4.4,17071,22.571652379544755,1000000,0.0,0
7843,7843,10315,EMI/FD/RD/PV/IRR/BEP/EOQ Calc,11,4.5,58,2.7,10000,0.0,0
6153,6153,8107,Shadowverse CCG,17,4.2,47340,61.0,1000000,0.0,1
6862,6862,9031,DX Alerts,16,4.5,22,23.0,1000,0.0,0
1199,1199,1569,Easy Makeup Tutorials,16,4.3,7287,5.0,1000000,0.0,0
7806,7806,10275,Mobile FC,23,4.1,5015,57.0,100000,0.0,0
2285,2285,3114,Google Trips - Travel Planner,24,4.1,26871,22.571652379544755,5000000,0.0,0
3092,3092,4079,Mobile Security & Antivirus,27,4.7,564759,22.571652379544755,10000000,0.0,0
3348,3348,4412,Sketch 'n' go,30,3.8,3965,6.4,100000,0.0,0
5032,5032,6556,FX LITE BO,11,3.6,73,14.0,10000,0.0,0
5948,5948,7851,Puzzle for CS:GO,17,4.3,247,18.0,10000,0.0,0
7210,7210,9485,Santa Panda Bubble Christmas,17,4.1,101,31.0,10000,0.0,0
3831,3831,4972,Photo Compress 2.0 - Ad Free,25,4.1,6267,1.7,1000000,0.0,0
2773,2773,3674,Video Player All Format for Android,30,4.6,3930,3.3,500000,0.0,0
6051,6051,7970,CV Templates 2018,18,4.0,13,26.0,5000,0.0,0
8018,8018,10587,Lottery Driver- Florida Result,18,4.4,70,4.4,5000,0.0,1
697,697,915,Acorn TV: World-class TV from Britain and Beyond,9,3.0,493,23.0,50000,0.0,0
5731,5731,7593,Free Fur All – We Bare Bears,18,4.2,256916,25.0,10000000,0.0,0
6192,6192,8167,What is my IP address,25,4.5,4228,22.571652379544755,500000,0.0,0
8124,8124,10741,Fingerprint Quick Action,25,4.2,8484,1.7,1000000,0.0,0
86,86,88,AutoScout24 Switzerland – Find your new car,1,4.6,13372,22.571652379544755,1000000,0.0,0
2154,2154,2926,Mirror Photo:Editor Collage (HD),22,4.1,373606,22.571652379544755,10000000,0.0,0
1114,1114,1456,Houzz Interior Design Ideas,14,4.6,353799,22.571652379544755,10000000,0.0,0
5014,5014,6533,BN Pro RobotoXL HD Text,15,4.3,15,22.571652379544755,1000,0.0,0
4743,4743,6136,BG BRIDAL GALLERY,16,4.6,17,19.0,1000,0.0,0
4071,4071,5325,Al Quran Al karim,3,4.6,41608,49.0,1000000,0.0,0
6944,6944,9141,NBA LIVE Mobile Basketball,23,4.4,1690802,58.0,50000000,0.0,0
2779,2779,3680,Music - Mp3 Player,30,4.4,259605,3.1,10000000,0.0,0
4573,4573,5940,058.ba,31,4.4,27,14.0,100,0.0,0
51,51,53,American Muscle Car Race,1,3.9,129,35.0,100000,0.0,0
7122,7122,9379,Crazy Doctor,18,4.0,267636,13.0,10000000,0.0,1
1509,1509,2038,PJ Masks: Moonlight Heroes,18,4.4,86961,99.0,10000000,0.0,0
7807,7807,10276,"FirstCry Baby & Kids Shopping, Fashion & Parenting",21,4.1,41074,16.0,5000000,0.0,0
1164,1164,1524,Call Recorder,15,4.7,48,6.9,1000,0.0,0
5461,5461,7201,Professor Online SEDUC-CE,18,4.1,188,4.6,10000,0.0,0
1821,1821,2452,Galaxies of Hope,19,5.0,2,24.0,50,0.0,0
6237,6237,8226,Guide for DB Xenoverse 2,3,4.4,121,8.7,10000,0.0,0
947,947,1235,OpenTable: Restaurants Near Me,12,4.6,90242,19.0,5000000,0.0,0
8154,8154,10787,Modern Counter Global Strike 3D,17,4.1,297,48.0,50000,0.0,1
1917,1917,2592,Tango - Live Video Broadcast,20,4.3,3806669,22.571652379544755,100000000,0.0,3
2150,2150,2917,No Crop & Square for Instagram,22,4.6,819774,25.0,10000000,0.0,0
7594,7594,10013,Rescue Robots Survival Games,17,4.0,27557,69.0,5000000,0.0,1
1049,1049,1349,My Cycles Period and Ovulation,13,4.3,26652,41.0,1000000,0.0,0
6574,6574,8683,Profile pictures for WhatsApp,26,4.7,10786,9.4,500000,0.0,3
4873,4873,6341,Blackjack Verite Drills,17,4.6,17,4.7,100,14.0,1
540,540,718,Math Tricks,8,4.5,342918,8.1,10000000,0.0,0
8037,8037,10609,"Trinity Church Deltona, FL",16,5.0,33,28.0,500,0.0,0
2568,2568,3433,Glowing Flowers Live Wallpaper,26,4.2,66730,7.0,5000000,0.0,0
3583,3583,4693,V.360° Camera,22,3.3,582,28.0,100000,0.0,0
6644,6644,8765,Dr. Battery - Fast Charger - Super Cleaner 2018,25,4.5,101738,10.0,1000000,0.0,0
5175,5175,6769,BT One Mobile secure access,4,3.4,54,5.7,10000,0.0,0
2881,2881,3789,Sync for reddit,31,4.6,62740,8.6,500000,0.0,3
3625,3625,4745,Draw Something Classic,17,4.2,1092106,43.0,50000000,0.0,0
7813,7813,10282,FD Shift Calendar Widget,25,4.1,981,22.571652379544755,100000,0.0,0
6177,6177,8142,Rande.cz,20,3.2,398,2.2,50000,0.0,3
6087,6087,8014,Morse Player,18,5.0,12,2.4,100,1.99,0
1545,1545,2080,School of Dragons,18,4.1,530792,22.571652379544755,10000000,0.0,0
6254,6254,8248,Injustice: Gods Among Us,17,4.4,2440877,32.0,10000000,0.0,1
818,818,1091,Wells Fargo Daily Change,11,4.2,283,5.0,100000,0.0,0
7168,7168,9435,Tap The Easter Egg!,18,3.2,111,3.3,5000,0.0,0
3377,3377,4445,"O Multiple - App Cloner, Duals APP, tarallel",25,3.9,145,5.2,50000,0.0,0
6529,6529,8625,NARUTO X BORUTO NINJA VOLTAGE,17,4.4,267395,71.0,5000000,0.0,2
2640,2640,3509,Trello,27,4.5,72513,12.0,5000000,0.0,0
5161,5161,6754,CABLE SIZE CALCULATOR BS 7671,25,3.9,333,1.1,100000,0.0,0
1041,1041,1339,Simply Yoga - Fitness Trainer for Workouts & Poses,13,4.1,6826,22.571652379544755,1000000,0.0,0
2491,2491,3354,ZEDGE™ Ringtones & Wallpapers,26,4.6,6466641,22.571652379544755,100000000,0.0,1
3685,3685,4814,ZArchiver,25,4.5,337242,22.571652379544755,10000000,0.0,0
